epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3805.6,1.22152,3.71216,1.37341,0.44103,0.22775,0.15469,0.10504,1.04288,3.27985,1.30721,0.000104177,0.000104177,0.000104177
2,7895.63,1.19646,2.77347,1.35357,0.48006,0.28496,0.23277,0.15607,1.00662,2.81193,1.29406,0.000198189,0.000198189,0.000198189
3,11850.3,1.17791,2.4732,1.33191,0.4982,0.30637,0.27545,0.18461,1.01326,2.51194,1.30514,0.000281872,0.000281872,0.000281872
4,15813,1.1586,2.29844,1.31033,0.39656,0.3125,0.29521,0.19618,0.99053,2.42915,1.2636,0.00026652,0.00026652,0.00026652
5,63414.1,1.13659,2.12789,1.29308,0.47701,0.33448,0.32798,0.22527,0.95622,2.226,1.24118,0.000251026,0.000251026,0.000251026
6,67472.7,1.11913,2.00195,1.27756,0.50279,0.38131,0.34643,0.23345,0.97909,2.12464,1.24782,0.000235533,0.000235533,0.000235533
7,71464.6,1.10753,1.90644,1.26803,0.60843,0.34778,0.37024,0.25892,0.92602,2.014,1.21988,0.000220039,0.000220039,0.000220039
8,74623,1.08202,1.79764,1.25041,0.48107,0.40065,0.38219,0.26768,0.93002,1.95155,1.20377,0.000204545,0.000204545,0.000204545
9,77340.8,1.06838,1.72878,1.23808,0.51329,0.38833,0.41492,0.28354,0.92453,1.85157,1.20507,0.000189052,0.000189052,0.000189052
10,80047.3,1.05567,1.64673,1.22758,0.48285,0.43737,0.43128,0.3059,0.90388,1.73525,1.19087,0.000173559,0.000173559,0.000173559
11,82779.8,1.0485,1.53449,1.26058,0.52354,0.46906,0.45819,0.32056,0.89809,1.71493,1.18994,0.000158065,0.000158065,0.000158065
12,85987.3,1.02681,1.42214,1.2407,0.47854,0.47992,0.45355,0.316,0.88868,1.75351,1.17909,0.000142572,0.000142572,0.000142572
13,89695.1,1.00458,1.35333,1.22482,0.50391,0.4634,0.44894,0.31345,0.88901,1.70897,1.17607,0.000127078,0.000127078,0.000127078
14,93424.6,0.98675,1.28867,1.20771,0.46709,0.47906,0.44452,0.31823,0.86538,1.62516,1.15509,0.000111585,0.000111585,0.000111585
15,97196.3,0.97274,1.23334,1.19813,0.53362,0.46341,0.45999,0.32675,0.88425,1.6529,1.16755,9.6091e-05,9.6091e-05,9.6091e-05
16,100983,0.96019,1.18724,1.18852,0.5126,0.48706,0.47487,0.34095,0.86119,1.55396,1.15229,8.05975e-05,8.05975e-05,8.05975e-05
17,104801,0.94018,1.12621,1.17192,0.46801,0.51438,0.47502,0.34253,0.85787,1.55802,1.14365,6.5104e-05,6.5104e-05,6.5104e-05
18,110901,0.93269,1.09496,1.16409,0.56656,0.48815,0.48719,0.34896,0.85204,1.54712,1.14539,4.96105e-05,4.96105e-05,4.96105e-05
19,163466,0.92052,1.0557,1.15555,0.55679,0.50688,0.49281,0.35397,0.85091,1.55635,1.14057,3.4117e-05,3.4117e-05,3.4117e-05
20,179891,0.912,1.03029,1.14508,0.55797,0.49221,0.4917,0.35486,0.85204,1.53205,1.13949,1.86235e-05,1.86235e-05,1.86235e-05
